SMILES	abs_wl_max	abs_intensity	ems_wl_max	ems_intensity
C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl	288.0	1.0		
C1(=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)O	211.0	1.0		
CC1=C(C(=O)C(=C(C1=O)C)C)C	270.0	1.0		
C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N	287.0	1.0		
C1(=C(C(=O)C(=O)C(=C1Cl)Cl)Cl)Cl	458.0	1.0		
C1=CC=C(C=C1)C2=CC(=O)C(=CC2=O)C3=CC=CC=C3	243.0	1.0		
CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C	258.0	1.0		
C(#N)C(=C(C#N)C#N)C#N	267.0	1.0		
C1=CC(=C(C#N)C#N)C=CC1=C(C#N)C#N	401.0	1.0		
C1=CC=C2C(=O)C=CC(=O)C2=C1	246.0	1.0		
C1=CC=C2C(=C1)C(=O)C=C(C2=O)S(=O)(=O)[O-]	255.0	1.0		
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl	280.0	1.0		
CC1=CC(=O)C2=CC=CC=C2C1=O	251.0	1.0		
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O	268.0	1.0		
C1=CC=C2C(=C1)C=CC(=O)C2=O	249.0	1.0		
C1=CC=C2C(=C1)C(=CC(=O)C2=O)S(=O)(=O)[O-]	250.0	1.0		
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O	251.25	1.0		
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O	248.0	1.0		
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)S(=O)(=O)[O-]	250.0	1.0		
C1=CC=C2C=C3C(=O)C=CC(=O)C3=CC2=C1	233.0	1.0		
C1=CC=C2C=C3C(=CC2=C1)C(=O)C4=CC=CC=C4C3=O	296.0	1.0	344.0	1.0
C1=CC=C2C=C3C(=CC2=C1)C(=O)C4=CC5=CC=CC=C5C=C4C3=O	303.0	1.0	333.0	1.0
C1=CC=C2C(=C1)C=CC(=O)O2	275.0	1.0		
C1=CC=C2C(=C1)C(=CC(=O)O2)O	280.0	1.0	364.0	1.0
C1=CC(=CC2=C1C=CC(=O)O2)O	326.0	1.0	387.0	1.0
C1=CC2=C(C=C1O)OC(=O)C=C2C(F)(F)F	338.0	1.0	420.0	1.0
COC1=CC2=C(C=C1)C(=CC(=O)O2)CC(=O)O	323.75	1.0	379.5	1.0
CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C	373.25	1.0	446.5	1.0
CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4S3	459.25	1.0	500.0	1.0
CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3	436.0	1.0	484.0	1.0
CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3C	407.5	1.0	478.0	1.0
C1=CC2=C(C=C1N)OC(=O)C=C2C(F)(F)F	384.0	1.0	484.0	1.0
CCOC(=O)C1=CC2=CC3=C4C(=C2OC1=O)CCCN4CCC3	436.0	1.0	475.5	1.0
C1CC2=C3C(=C4C(=C2)C=C(C(=O)O4)C(=O)O)CCCN3C1	444.75	1.0	462.0	1.0
CC1=CC(=O)OC2=C1C=CC(=C2CN(CC(=O)O)CC(=O)O)O	361.0	1.0	441.0	1.0
C1=CC=C2C(=C1)C3=C(C=C(C=C3)O)OC2=O	278.0	1.0	420.0	1.0
C1=CC=C2C(=C1)C=C3C=CC=CC3=N2	247.0	1.0	415.0	1.0
C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl	261.0	1.0	511.0	1.0
CN(C)C1=CC2=C(C=C1)C=C3C=CC(=CC3=N2)N(C)C.Cl	270.5	1.0	521.5	1.0
CC1=CC2=CC3=CC(=C(C=C3N=C2C=C1N)N)C.Cl	264.0	1.0	492.0	1.0
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2	249.0	1.0	410.0	1.0
C1=CC=C2C(=C1)N=C3C=CC=CC3=N2	248.0	1.0		
C1=CC=C(C=C1)[N+]2=C3C=C(C=CC3=NC4=C2C=C(C=C4)N)N	533.0	1.0	562.0	1.0
CC1=CC2=NC3=C(C=C(C=C3)N(C)C)N=C2C=C1N.Cl	278.0	1.0	592.0	1.0
CCN(CC)C1=CC2=[N+](C3=C(C=CC(=C3)N=NC4=CC=C(C=C4)N(C)C)N=C2C=C1)C5=CC=CC=C5	587.0	1.0		
C1=CC=C2C(=C1)NC3=CC=CC=C3S2	253.0	1.0	445.0	1.0
C1=CC2=C(C=C1N)SC3=CC(=[NH2+])C=CC3=N2	605.0	1.0	616.0	1.0
CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2	656.0	1.0	677.0	1.0
